Date,Open,High,Low,Close,Adj Close,Volume
2015-07-27,726.099976,730.599976,711.000000,719.250000,709.306763,28296
2015-07-28,726.000000,726.000000,707.750000,709.700012,699.888794,31191
2015-07-29,716.000000,747.000000,710.049988,730.849976,720.746460,46126
2015-07-30,732.299988,757.400024,722.599976,743.299988,733.024353,139348
2015-07-31,743.299988,753.900024,741.000000,746.200012,735.884338,19098
2015-08-03,745.000000,763.299988,730.099976,757.700012,747.225281,70497
2015-08-04,751.250000,766.000000,751.000000,758.049988,747.570435,31279
2015-08-05,764.500000,765.950012,751.299988,754.400024,743.970886,45043
2015-08-06,761.000000,763.299988,752.099976,755.849976,745.400818,24676
2015-08-07,755.900024,784.950012,755.900024,767.150024,756.544678,105340
2015-08-10,768.950012,780.000000,755.500000,759.150024,748.655273,20217
2015-08-11,764.900024,774.900024,757.200012,759.549988,749.049622,32015
2015-08-12,759.000000,759.000000,725.650024,737.650024,727.452454,26022
2015-08-13,745.349976,753.950012,732.700012,739.950012,729.720642,20524
2015-08-14,740.049988,755.599976,740.049988,750.450012,740.075562,9704
2015-08-17,757.549988,764.299988,746.200012,751.599976,741.209595,15134
2015-08-18,752.049988,758.000000,743.049988,745.099976,734.799438,28047
2015-08-19,746.450012,747.000000,730.000000,735.700012,725.529358,34512
2015-08-20,733.900024,750.000000,733.000000,742.849976,732.580505,14446
2015-08-21,726.950012,747.049988,722.400024,743.000000,732.728516,43450
2015-08-24,715.150024,731.650024,686.049988,705.049988,695.303040,60239
2015-08-25,705.049988,706.400024,660.250000,688.349976,678.833984,36960
2015-08-26,698.000000,698.000000,676.049988,686.599976,677.108154,20872
2015-08-27,702.750000,705.000000,673.200012,691.049988,681.496643,39042
2015-08-28,699.799988,704.900024,681.000000,681.900024,672.473206,14044
2015-08-31,688.349976,694.900024,679.000000,682.200012,672.768982,14704
2015-09-01,678.049988,686.900024,658.049988,666.650024,657.434021,22807
2015-09-02,666.650024,677.049988,656.000000,661.400024,652.256531,23989
2015-09-03,655.400024,676.000000,636.000000,642.250000,633.371338,65102
2015-09-04,644.900024,650.000000,625.250000,632.799988,624.051941,203083
2015-09-07,633.000000,639.000000,620.250000,631.900024,623.164307,30383
2015-09-08,618.500000,648.000000,618.250000,642.349976,633.469910,20600
2015-09-09,645.099976,664.000000,631.049988,635.950012,627.158386,34844
2015-09-10,630.000000,637.000000,604.000000,613.849976,605.363892,55213
2015-09-11,620.000000,630.000000,610.500000,615.750000,607.237671,54459
2015-09-14,618.500000,629.349976,607.000000,613.750000,605.265259,44668
2015-09-15,609.500000,622.000000,609.500000,613.900024,605.413330,22334
2015-09-16,620.000000,630.000000,615.000000,624.950012,616.310486,16176
2015-09-18,639.000000,645.000000,626.950012,639.799988,630.955139,69216
2015-09-21,639.849976,662.900024,627.750000,654.150024,645.106750,36446
2015-09-22,655.000000,655.000000,636.000000,636.549988,627.750061,41548
2015-09-23,634.150024,654.500000,632.349976,638.500000,629.673157,26722
2015-09-24,646.200012,647.950012,632.500000,639.599976,630.757874,8181
2015-09-28,646.000000,659.000000,629.549988,646.500000,637.562561,39065
2015-09-29,643.000000,653.000000,637.450012,649.900024,640.915527,52818
2015-09-30,650.000000,660.000000,644.049988,655.349976,646.290161,183498
2015-10-01,661.299988,704.250000,661.299988,681.150024,671.733582,88726
2015-10-05,693.400024,712.000000,678.000000,702.950012,693.232178,56763
2015-10-06,711.000000,714.700012,682.450012,686.950012,677.453430,23510
2015-10-07,692.200012,708.799988,673.000000,696.099976,686.476868,26445
2015-10-08,701.000000,703.049988,683.950012,694.599976,684.997559,24018
2015-10-09,690.099976,703.000000,665.099976,675.500000,666.161621,30220
2015-10-12,678.000000,688.500000,662.400024,672.200012,662.907288,13544
2015-10-13,685.000000,703.000000,685.000000,693.299988,683.715637,60068
2015-10-14,693.650024,696.450012,682.000000,688.950012,679.425720,16879
2015-10-15,682.650024,700.500000,675.549988,695.549988,685.934448,37654
2015-10-16,685.500000,695.250000,681.000000,685.250000,675.776855,18607
2015-10-19,690.450012,696.700012,684.400024,692.400024,682.828003,10482
2015-10-20,692.150024,696.000000,686.650024,692.900024,683.321106,10785
2015-10-21,685.000000,700.000000,683.000000,685.849976,676.368530,10948
2015-10-23,694.000000,694.000000,675.000000,678.950012,669.563965,26102
2015-10-26,680.000000,680.000000,664.000000,667.500000,658.272217,10714
2015-10-27,656.000000,677.950012,643.700012,648.000000,639.041809,16247
2015-10-28,647.000000,654.599976,644.099976,647.049988,638.104919,6457
2015-10-29,654.650024,655.000000,644.150024,648.599976,639.633484,15896
2015-10-30,648.799988,668.000000,632.799988,638.299988,629.475891,275148
2015-11-02,639.700012,645.549988,622.000000,636.000000,627.207703,58846
2015-11-03,642.599976,660.750000,634.099976,653.200012,644.169983,83951
2015-11-04,649.599976,662.700012,616.299988,636.799988,627.996582,280831
2015-11-05,633.049988,638.500000,616.099976,634.299988,625.531128,20741
2015-11-06,634.299988,651.000000,624.000000,628.799988,620.107239,35780
